n,time(ms)
1,0.0009168870747089386
2,0.021792016923427582
4,0.07670908235013485
8,0.4736250266432762
16,3.318707924336195
32,26.606959057971835
64,140.19595901481807
128,1013.6523749679327
256,7136.257125064731
512,51147.10725005716
1,0.000708969309926033
2,0.01870817504823208
4,0.07724994793534279
8,0.48020901158452034
16,3.2031249720603228
32,19.792041974142194
64,139.6406248677522
128,997.5296249613166
256,7032.916042022407
512,50031.406542053446
1,0.0007078051567077637
2,0.02045789733529091
4,0.0666668638586998
8,0.4717500414699316
16,3.2611670903861523
32,20.098250126466155
64,140.43575013056397
128,1000.0520420726389
256,7070.354541996494
512,50351.86633421108
