n,time(ms)
1,0.0009159557521343231
2,0.010416144505143166
4,0.044625019654631615
8,0.29795803129673004
16,2.3332498967647552
32,24.977833963930607
64,131.60483306273818
128,1067.9318748880178
256,8753.12608294189
512,69126.31308403797
1,0.00100000761449337
2,0.010499963536858559
4,0.04595913924276829
8,0.31575001776218414
16,2.294959034770727
32,17.381625017151237
64,130.31308306381106
128,1060.664374846965
256,8539.775167126209
512,69137.81845918857
1,0.0008749775588512421
2,0.009707873687148094
4,0.04333397373557091
8,0.3013748209923506
16,2.3212081287056208
32,17.676792107522488
64,130.92087488621473
128,1054.536374984309
256,8533.87758298777
512,68780.93612520024
